draw,layer,Committee015,A_Stat,A_Dynamic,B_Stat
1200,A,0.28510087728500366,0.08685054630041122,0.48430612683296204,
1201,B,0.7445089817047119,,,-0.6950182914733887
1202,B,0.6040730476379395,,,-0.43702787160873413
1203,B,0.607033371925354,,,-0.3817724883556366
1204,A,-0.6897801756858826,-0.3965151011943817,1.356335163116455,
1205,B,-1.6286146640777588,,,-1.5068621635437012
1206,B,-0.16261297464370728,,,-1.8909298181533813
1207,A,-0.44530752301216125,-0.399926096200943,0.6919649243354797,
1208,A,-0.6408892273902893,-0.2613624632358551,-0.2116956263780594,
1209,B,-0.03823342174291611,,,-0.9875183701515198
1210,other,-3.1110262870788574,,,
1211,A,-0.9611968994140625,0.2790856957435608,1.2293989658355713,
1212,other,2.349177598953247,,,
1213,other,-0.15909148752689362,,,
1214,A,-0.3706984519958496,0.23509418964385986,0.16621115803718567,
1215,other,1.0566906929016113,,,
1216,B,-2.0537588596343994,,,-1.1160169839859009
1217,A,-1.4358972311019897,-1.2402859926223755,-0.6772368550300598,
1218,other,-5.718669891357422,,,
1219,A,-0.3330259323120117,0.7780147194862366,0.45379796624183655,
1220,B,-0.12457099556922913,,,-0.24549978971481323
1221,A,0.04638360068202019,-1.1828968524932861,-1.0048422813415527,
1222,A,0.5368391871452332,1.1377947330474854,0.25275033712387085,
1223,A,0.9810510873794556,0.012795740738511086,-0.16336095333099365,
1224,B,1.5756202936172485,,,0.6663104295730591
1225,B,0.6433340907096863,,,1.474524736404419
1226,A,-0.5792153477668762,-1.075972080230713,-0.4099156856536865,
1227,A,-0.2839674651622772,0.24200856685638428,1.2397552728652954,
1228,A,0.5043201446533203,0.24358628690242767,0.7691567540168762,
1229,B,1.4005366563796997,,,1.689935326576233
1230,A,0.21670673787593842,-0.9912992715835571,-1.1517692804336548,
1231,A,0.6536667346954346,0.6361879706382751,0.9629694223403931,
1232,A,0.7198359966278076,-0.32078781723976135,-0.5342904925346375,
1233,A,0.6955207586288452,0.6039154529571533,0.8679367899894714,
1234,A,-0.20732437074184418,-1.5515117645263672,-1.73929762840271,
1235,A,-1.6374015808105469,-2.69564151763916,-3.1008291244506836,
1236,other,-0.09572695940732956,,,
1237,B,0.05370134115219116,,,0.3830862045288086
1238,B,-0.5179430246353149,,,-0.39137160778045654
1239,B,-0.1795884221792221,,,0.8169217109680176
1240,B,0.373390793800354,,,-0.2606428861618042
1241,other,1.970663070678711,,,
1242,A,0.9307230710983276,1.3483009338378906,1.7459315061569214,
1243,A,0.2775976061820984,-0.6502952575683594,0.36571964621543884,
1244,B,2.2773284912109375,,,1.653706669807434
1245,other,0.8139827847480774,,,
1246,B,0.6886361241340637,,,0.9168105721473694
1247,A,-0.5254702568054199,-0.08192311972379684,0.6498159766197205,
1248,B,0.8608983755111694,,,0.3250778019428253
1249,A,0.26007145643234253,0.6862358450889587,1.3495948314666748,
1250,A,-0.12093910574913025,-0.6700633764266968,-0.10230756551027298,
1251,other,-3.0013058185577393,,,
1252,B,0.550654411315918,,,0.029481908306479454
1253,A,-0.4216931462287903,-1.0106258392333984,0.46961814165115356,
1254,A,-0.7195783257484436,-0.7244075536727905,-0.2813415229320526,
1255,B,2.1465306282043457,,,0.7021176218986511
1256,A,0.5909711718559265,0.19455313682556152,0.6061890125274658,
1257,A,-0.9641225337982178,0.4133381247520447,0.37226465344429016,
1258,B,0.19275927543640137,,,-0.774052083492279
1259,A,-1.353569746017456,-2.613809585571289,-2.58188533782959,
1260,A,0.19219399988651276,0.552242636680603,0.01686917059123516,
1261,other,0.7539455890655518,,,
1262,other,-0.7782090902328491,,,
1263,A,0.3379424810409546,0.8124379515647888,1.2750169038772583,
1264,A,-0.05360794812440872,1.165241003036499,0.8921494483947754,
1265,B,0.8831547498703003,,,0.5780774354934692
1266,A,0.634912371635437,0.8074591159820557,1.1839770078659058,
1267,B,-1.2252681255340576,,,-1.801332950592041
1268,A,-0.8451803922653198,0.0038790430407971144,0.45121318101882935,
1269,A,0.37926536798477173,0.568728506565094,0.5779133439064026,
1270,A,1.174044132232666,1.2496963739395142,0.991182804107666,
1271,B,0.7890993356704712,,,-0.8116663098335266
1272,B,0.2370641827583313,,,0.3548573851585388
1273,A,0.04841911792755127,-1.159361720085144,-1.8681126832962036,
1274,B,1.0491970777511597,,,0.42692530155181885
